n_step,reward,epsilon
12496,-411.98717645793624,1.0
18506,-621.2358877305951,1.0
5973,-198.90224553279646,1.0
31320,-1042.8756045241207,1.0
84228,-2821.3165538152803,1.0
11920,-398.46166421470264,1.0
35362,-1179.310466669896,1.0
15419,-516.523229019994,1.0
47033,-1558.3250342434114,1.0
20196,-673.01857240238,1.0
16642,-549.8040196360269,1.0
21443,-711.8144533076218,1.0
3973,-132.8826792494031,1.0
6287,-210.3631966499159,1.0
6149,-204.77054246045748,1.0
9060,-305.5921370742531,1.0
13128,-436.16403964673856,1.0
1597,-53.945621285822895,1.0
33071,-1105.516384471171,1.0
2236,-75.62684583728714,1.0
34453,-1152.7135013223372,1.0
54409,-1813.2664291207918,1.0
29366,-983.8370147927072,1.0
4397,-145.0885171037648,1.0
34869,-1156.0559217856392,1.0
46156,-1537.9570170065854,1.0
5527,-183.5285755673836,1.0
36859,-1230.7999694347557,1.0
13878,-465.32923764675127,1.0
8912,-298.10277283238895,1.0
6246,-209.41938409600093,1.0
21240,-708.1498242429984,1.0
8069,-271.6672934611212,1.0
50753,-1686.4281822241348,1.0
11267,-372.9311993241532,1.0
9891,-325.55539030604956,1.0
31702,-1055.4049304654377,1.0
20280,-680.1161881350924,1.0
19022,-625.9829320906472,1.0
11902,-394.13768391570926,1.0
37886,-1283.1197553614752,1.0
7197,-238.92638650091607,1.0
9048,-300.3588339403115,1.0
29212,-977.8232882424669,1.0
2623,-88.44206519964227,1.0
54718,-1821.2306601603395,1.0
7294,-244.83491533012207,1.0
16660,-552.5610923917793,1.0
10498,-341.9044100614724,1.0
9326,-311.4748637055003,1.0
33066,-1116.7118737992798,1.0
33957,-1129.8877626673536,1.0
98896,-3303.8102279554796,1.0
15562,-524.342156215139,1.0
13713,-458.0594897767808,1.0
58080,-1935.1392336829388,1.0
8997,-304.8499278068585,1.0
12568,-421.57098638932996,1.0
21364,-704.1422703051005,1.0
3890,-130.13772273149937,1.0
15249,-511.05576297494935,1.0
29465,-987.2562280819757,1.0
50409,-1673.0505182528286,1.0
6057,-208.43621271273645,1.0
2449,-83.51329486689043,1.0
41356,-1367.660263270549,1.0
42480,-1414.9671293785602,1.0
15113,-504.19700926318177,1.0
8001,-266.07217819314843,1.0
1837,-61.484809288799966,1.0
37732,-1269.3435862777753,1.0
17508,-585.8495827069892,1.0
18696,-624.281592226859,1.0
5860,-196.61335050983865,1.0
7270,-244.17826131573972,1.0
4286,-143.1109312507497,1.0
19733,-655.9372466944936,1.0
7052,-239.7988742620711,1.0
26963,-897.8201221334974,1.0
16537,-549.3424723353661,1.0
40649,-1350.969996249777,1.0
45478,-1523.4000825938406,1.0
45441,-1521.4716496094459,1.0
39833,-1328.8573699643925,1.0
26265,-875.9863366023344,1.0
32495,-1082.2330846309276,1.0
16162,-528.317552990112,1.0
43907,-1455.834968612018,1.0
25247,-840.6769216168811,1.0
17102,-570.4628765239256,1.0
3084,-101.01069301416877,1.0
25462,-855.1787189428323,1.0
29849,-984.5505906306975,1.0
10801,-357.82440587497825,1.0
37072,-1231.4930967344387,1.0
1420,-47.2420852751003,1.0
18726,-625.7363439586538,1.0
31410,-1051.7046271833515,1.0
25655,-867.9886653521517,1.0
19321,-646.9563895641286,1.0
5128,-173.071943701145,1.0
2856,-95.74119805054005,1.0
2118,-74.52151606042155,1.0
11546,-386.16784783062036,1.0
24440,-818.7035459684517,1.0
38296,-1279.1685643874525,1.0
17266,-579.2456571059942,1.0
14655,-487.1262912299202,1.0
8582,-281.5106837246242,1.0
35007,-1169.2193825668571,1.0
61344,-2034.5360290583646,1.0
12765,-429.8633674690271,1.0
31201,-1045.1031003193384,1.0
11804,-389.95943691212403,1.0
38250,-1274.3568375926816,1.0
8206,-271.7090870431707,1.0
18489,-614.4811049783114,1.0
3948,-131.00573235897323,1.0
3061,-105.9025448417796,1.0
24663,-829.2419860806017,1.0
7888,-264.96073958079774,1.0
78036,-2596.7871715210463,1.0
8092,-268.4193233321562,1.0
42859,-1424.8000194245642,1.0
23310,-777.9115915647632,1.0
45682,-1526.219474811713,1.0
21141,-712.8452769021903,1.0
10991,-361.70845690990586,1.0
47988,-1597.8266440771138,1.0
26254,-878.2420395045715,1.0
4360,-143.39663335570862,1.0
13264,-448.884183587802,1.0
3647,-117.80482047006795,1.0
28621,-960.5234589137619,1.0
66665,-2220.475171459801,1.0
15337,-506.94986276589265,1.0
111254,-3714.9550275551287,1.0
11670,-390.51932758517586,1.0
31627,-1040.6692196388042,1.0
20590,-694.0367860837043,1.0
71583,-2387.154136151607,1.0
15195,-504.7376473120844,1.0
5973,-196.00552735622506,1.0
29900,-992.5966824216462,1.0
5606,-187.933581046492,1.0
30297,-1014.4164622709519,1.0
30313,-1012.4457350320884,1.0
14595,-492.49054166092805,1.0
9569,-321.3591491370401,1.0
32226,-1076.7063239920185,1.0
10944,-364.2252233097714,1.0
30658,-1030.0546596021084,1.0
24422,-812.2013169873325,1.0
58451,-1945.9834893933462,1.0
15793,-521.690970408907,1.0
24552,-817.3929881817701,1.0
38197,-1273.4105162539752,1.0
51597,-1719.1787874622426,1.0
35405,-1176.4688511179252,1.0
21572,-723.106708292728,1.0
7546,-253.1023930247346,1.0
15054,-499.29902663162414,1.0
30464,-1012.3975044995109,1.0
32107,-1075.3893312854088,1.0
22810,-764.1474627550654,1.0
17840,-596.5837666525506,1.0
8213,-272.13191561033443,1.0
10407,-349.7611123920043,1.0
23478,-777.5215856169503,1.0
39152,-1316.8305902224852,1.0
24656,-831.7124423531176,1.0
3501,-117.93583807864846,1.0
4195,-140.2302252070623,1.0
96571,-3208.423986995007,1.0
29789,-997.9452914308779,1.0
19669,-672.3489025689221,1.0
54066,-1804.3364771038202,1.0
22629,-747.7140568737931,1.0
68801,-2306.091983338301,1.0
17781,-594.998784335278,1.0
12644,-416.205613196273,1.0
6036,-201.50482856105714,1.0
35372,-1161.1548689417514,1.0
61903,-2063.9368641323463,1.0
12331,-408.72039463591875,1.0
32063,-1073.8152681593829,1.0
5697,-190.47969771364185,1.0
14145,-469.4312550906967,1.0
4124,-137.66499269147414,1.0
27063,-903.4875678939087,1.0
28012,-923.0981023141268,1.0
29845,-992.2211469592596,1.0
15233,-508.8345418275861,1.0
10921,-367.91688322361586,1.0
8130,-272.6533217628679,1.0
40980,-1367.839284538332,1.0
18965,-639.631510711726,1.0
2679,-92.42508620731715,1.0
45135,-1491.1574944757995,1.0
14159,-470.0907917294555,1.0
16295,-545.1213809521812,1.0
7753,-258.30957045421,1.0
23833,-798.9873050281143,1.0
34318,-1147.8165472950257,1.0
17137,-573.102503533017,1.0
10553,-351.2212754605187,1.0
11020,-371.054397163547,1.0
3682,-121.29074877999334,1.0
7039,-239.02802888283009,1.0
30710,-1030.7852802719553,1.0
38803,-1291.9118880876292,1.0
25627,-850.2978068894472,1.0
25122,-840.2569791091603,1.0
3988,-130.89525759296498,1.0
29132,-959.7227898957534,1.0
12887,-424.93559829948674,1.0
37255,-1237.5058363800185,1.0
97094,-3232.6232477501676,1.0
19701,-650.5320329839997,1.0
9033,-300.3486273042797,1.0
7046,-236.14744391647068,1.0
29783,-990.8441468721173,1.0
56135,-1875.2036592836146,1.0
13455,-449.59314533262113,1.0
8035,-266.1968347525877,1.0
19184,-633.7442007921345,1.0
14316,-471.79482072008165,1.0
8260,-274.09935071392397,1.0
36322,-1209.545273082244,1.0
31323,-1049.3306493756331,1.0
8739,-288.0700057454785,1.0
33965,-1130.5328513893412,1.0
6073,-202.09541555488042,1.0
4544,-147.10773339172687,1.0
29017,-961.7457774108775,1.0
30504,-1014.1451148943331,1.0
9679,-324.13804104055384,1.0
3596,-118.91797143405198,1.0
45176,-1513.1578374331189,1.0
14072,-472.7464744012291,1.0
3507,-116.34784564830822,1.0
121538,-4051.2489964543756,1.0
12596,-421.6706429983523,1.0
97156,-3242.2691487765937,1.0
5084,-166.3896675103849,1.0
7067,-230.1763489717926,1.0
42708,-1418.097582343063,1.0
60484,-2016.7408006478659,1.0
22142,-732.8252770285978,1.0
7146,-242.28771046122625,1.0
20513,-684.6438725083227,1.0
20410,-679.8201029158959,1.0
36471,-1226.0263054584116,1.0
27038,-898.7366661613745,1.0
93690,-3123.7385300487213,1.0
35879,-1197.7940011242522,1.0
17834,-600.935817455651,1.0
60558,-2029.0027157911875,1.0
9191,-306.9466345248907,1.0
62140,-2075.9782120894315,1.0
28200,-938.1034081065868,1.0
2431,-79.92567261645361,1.0
13420,-450.47446958953554,1.0
23281,-777.5339482744229,1.0
17467,-574.6150865271447,1.0
7888,-263.7043058767672,1.0
1956,-67.05718624019333,1.0
8489,-280.00356229585935,1.0
8032,-269.8193186439038,1.0
70165,-2336.082060656668,1.0
28991,-967.2501071524048,1.0
50724,-1682.1833309185774,1.0
94906,-3175.3274202470643,1.0
2455,-81.1701636025234,1.0
25499,-847.6486933340866,1.0
11826,-389.87688434147844,1.0
52040,-1729.7823912328308,1.0
15535,-517.9629542356913,1.0
18902,-630.0990424349319,1.0
35939,-1202.181055052817,1.0
9785,-324.96925799086813,1.0
15523,-513.0939239595018,1.0
38107,-1262.765665731398,1.0
33993,-1139.3143012589294,1.0
4790,-156.73060972372502,1.0
25174,-843.4112856469319,1.0
14039,-467.2397554858724,1.0
24416,-804.8065901182852,1.0
34147,-1141.2571762739385,1.0
76755,-2560.3774912011177,1.0
25795,-868.0658611172327,1.0
21346,-716.2118981344395,1.0
39085,-1297.9026878016314,1.0
6120,-202.2574654187059,1.0
15591,-514.397492013749,1.0
19149,-639.5288993324019,1.0
12368,-411.7316598444377,1.0
19029,-636.216421845837,1.0
42024,-1406.8036460169628,1.0
11871,-397.24639273144913,1.0
7390,-248.34602514107374,1.0
3215,-105.14438629025301,1.0
3407,-115.21025214526837,1.0
12001,-395.03804525267964,1.0
23464,-774.7773182619144,1.0
24494,-822.5208794003596,1.0
31236,-1035.0741672343443,1.0
10201,-336.0001818245555,1.0
1804,-60.242966879872164,1.0
103500,-3446.1894619611867,1.0
29727,-983.5875761251523,1.0
18658,-620.4781519831033,1.0
1555,-52.7808827805314,1.0
12182,-403.9845878720117,1.0
8918,-298.0679493112942,1.0
4062,-137.33423630062833,1.0
25578,-851.6805764833904,1.0
48059,-1598.7998335484106,1.0
12803,-426.5908916548207,1.0
65914,-2186.0430016803166,1.0
13421,-447.5583312080633,1.0
2987,-98.17717452078834,1.0
30778,-1032.8302908675803,1.0
12516,-415.20273183768444,1.0
3957,-135.1068157634419,1.0
8600,-286.1671739514964,1.0
1605,-54.288970830593534,1.0
29291,-975.0473124708762,1.0
104693,-3481.41945308074,1.0
36401,-1203.4970395654873,1.0
12132,-405.2282155098106,1.0
2716,-91.16467175530683,1.0
2159,-73.70897410006688,1.0
111149,-3703.695838933697,1.0
2126,-68.97933461689296,1.0
11429,-381.95941228437965,1.0
21306,-711.4315047598686,1.0
5355,-177.99649135586088,1.0
12674,-421.34914885122964,1.0
69314,-2321.8096328145302,1.0
19781,-660.8765423444802,1.0
16813,-562.2423329094675,1.0
28078,-938.0128419433173,1.0
10414,-344.7751092003407,1.0
24770,-827.9505794747104,1.0
12832,-431.3874164384222,1.0
8811,-298.03746031001543,1.0
12378,-408.6861589638565,1.0
28638,-954.1142174836807,1.0
16300,-545.123134597078,1.0
7757,-259.90441711462,1.0
37853,-1266.4946679411687,1.0
13427,-450.26676982133455,1.0
20393,-679.3907137631558,1.0
15879,-523.9024523947841,1.0
8961,-301.63639427652845,1.0
3171,-105.70211297213065,1.0
4756,-161.1596132569459,1.0
101186,-3380.2994509869445,1.0
19757,-657.9338372942279,1.0
38857,-1307.6692102304162,1.0
12321,-406.5641312809029,1.0
15846,-530.9005443365692,1.0
18369,-615.2906416361608,1.0
43779,-1468.3962704133257,1.0
4344,-144.7666083163966,1.0
58330,-1942.2033707962396,1.0
88613,-2966.9123131067304,1.0
9938,-335.5957753613636,1.0
2743,-90.64850441461377,1.0
52014,-1735.0704029656256,1.0
6391,-213.84840634325184,1.0
5027,-169.1106162926063,1.0
13438,-450.53112801282094,1.0
3547,-118.82601416150382,1.0
139979,-4652.296551583613,1.0
29563,-983.0411178208268,1.0
3778,-125.4010552395944,1.0
22262,-742.9718485003913,1.0
21598,-719.9665210656187,1.0
19301,-649.3525303178759,1.0
63762,-2131.477947739251,1.0
35664,-1185.18943497737,1.0
61716,-2036.4181279979439,1.0
11707,-390.6123368458787,1.0
3651,-122.63526682622079,1.0
9794,-326.1634889103694,1.0
15570,-518.0784079978071,1.0
4000,-132.25363059786918,1.0
11196,-372.9362502165019,1.0
2234,-74.92303669266454,1.0
4406,-145.7156436802591,1.0
66851,-2224.240200726916,1.0
22535,-750.1589627118668,1.0
16458,-548.329433570024,1.0
84719,-2825.4492222921153,1.0
4185,-138.69580664867655,1.0
3529,-123.98827209245046,1.0
6268,-210.55358149633375,1.0
35634,-1196.1001282259442,1.0
4311,-141.4256031739355,1.0
22576,-747.6344235610077,1.0
22095,-736.4920401307663,1.0
6715,-223.87732814650477,1.0
8389,-280.4171288471542,1.0
4785,-161.9449634724241,1.0
10647,-349.92796935550746,1.0
14837,-496.09354092654996,1.0
2442,-81.16202147829674,1.0
66579,-2209.1305208885237,1.0
11777,-394.3429920139201,1.0
5636,-188.28574734589017,1.0
38817,-1299.8001762594947,1.0
49673,-1644.11008511518,1.0
21133,-704.9833451467107,1.0
6589,-218.84376422311692,1.0
26205,-871.6940317461487,1.0
8129,-269.1839497209316,1.0
51231,-1711.6980269014102,1.0
15694,-522.1686024063489,1.0
11828,-396.39910346047157,1.0
33307,-1121.61250490504,1.0
67707,-2248.0002857226937,1.0
28217,-935.3698947587833,1.0
10014,-333.19720949297357,1.0
15148,-506.2157307188308,1.0
5186,-174.88299586599376,1.0
11660,-393.92713592480806,1.0
34679,-1151.4068854695272,1.0
12486,-415.3894083760171,1.0
10410,-345.9940023620094,1.0
68469,-2273.8109316158475,1.0
98852,-3305.988476672639,1.0
57786,-1932.4859915091856,1.0
12282,-408.28854006311354,1.0
54620,-1817.174049592248,1.0
3726,-123.88272973268384,1.0
30625,-1013.1836013868334,1.0
90292,-3010.2099583010336,1.0
5431,-179.62481547465154,1.0
23289,-776.2224479388686,1.0
18107,-610.180508112624,1.0
9408,-313.7401076134788,1.0
661,-21.72246320619742,1.0
31628,-1056.1787018314515,1.0
5779,-192.47952057364668,1.0
19937,-669.1947697655318,1.0
12276,-407.8132302167384,1.0
9185,-303.7343294002491,1.0
16558,-549.730881151553,1.0
6807,-229.61941178783874,1.0
22339,-744.8839537279247,1.0
61252,-2035.0580263687661,1.0
8472,-281.07343786881495,1.0
25426,-849.0391519241891,1.0
22765,-756.1553835634171,1.0
11326,-381.373720343359,1.0
61691,-2053.5226720024502,1.0
18403,-609.4803118356862,1.0
4489,-150.34317695130204,1.0
12752,-418.15281248319377,1.0
9157,-304.10895009460745,1.0
34674,-1151.0286868348023,1.0
25748,-858.599042283014,1.0
95889,-3197.663877433557,1.0
8377,-278.2407786352754,1.0
1792,-57.59539403563901,1.0
53987,-1808.917478405489,1.0
30099,-1004.1683320884649,1.0
7900,-264.17780676257826,1.0
126438,-4202.222717860986,1.0
54773,-1822.1758026990929,1.0
11413,-379.70001618554016,1.0
5785,-193.45452828978188,1.0
2957,-98.69959847399973,1.0
20013,-666.802947983089,1.0
6372,-210.02022295996738,1.0
82701,-2754.368165939858,1.0
10247,-343.21551261736096,1.0
46031,-1533.3099489329356,1.0
5714,-185.41305952624535,1.0
54729,-1821.6278186332413,1.0
7146,-238.9967150456965,1.0
7295,-242.02025970682232,1.0
9549,-313.48408238931523,1.0
21823,-728.2670025114222,1.0
72205,-2408.033439845483,1.0
11377,-377.9378374044704,1.0
5471,-181.5396475710164,1.0
4956,-163.7056734582849,1.0
16403,-549.4755170618348,1.0
5390,-179.12822892444314,1.0
1998,-65.19347514723215,1.0
31873,-1070.1985510476447,1.0
21274,-712.5398575234053,1.0
37195,-1231.6434092534191,1.0
8417,-280.2970300126114,1.0
62058,-2070.872725572354,1.0
11823,-393.2705017347092,1.0
5277,-175.72281483460958,1.0
